Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score - 260/280]	Term Source REF	Term Accession Number	Parameter Value[QA Score - 260/230]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Term Source REF	Term Accession Number	Parameter Value[Spike-in Mix Number]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Stranded]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sequencing Instrument]	Term Source REF	Term Accession Number	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
GC11-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC11-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC11-1R_S16_L002_R2_001.fastq.gz,GLDS-375_rna-seq_GC11-1R_S16_L002_R1_001.fastq.gz	GeneLab raw data processing protocol	27659956	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC11-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC11-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC11-1S_S15_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC11-1S_S15_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	24117162	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC5-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC5-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC5-1R_S8_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC5-1R_S8_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	28658796	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC5-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC5-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC5-1S_S7_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC5-1S_S7_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	23894768	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC9-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC9-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC9-1R_S12_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC9-1R_S12_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	35553622	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC9-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC9-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC9-1S_S11_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC9-1S_S11_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	21745892	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL10-1R	Nucleic Acid Extraction	Nanodrop 2000	1.99			2.09			FL10-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			384	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL10-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL10-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	144478455	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL10-1S	Nucleic Acid Extraction	Nanodrop 2000	2			2.34			FL10-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			354	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL10-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL10-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	117722168	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL12-1R	Nucleic Acid Extraction	Nanodrop 2000	2.02			1.99			FL12-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			341	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL12-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL12-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	115792109	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL12-1S	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.27			FL12-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			336	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL12-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL12-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	103079006	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL2-1R	Nucleic Acid Extraction	Nanodrop 2000	2.04			1.82			FL2-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			370	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL2-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL2-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	129592483	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL2-1S	Nucleic Acid Extraction	Nanodrop 2000	1.99			1.93			FL2-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			329	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL2-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL2-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	120670725	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL3-1R	Nucleic Acid Extraction	Nanodrop 2000	2			2.12			FL3-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			342	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL3-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL3-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	140052029	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.63	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL3-1S	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.29			FL3-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			342	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL3-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL3-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	116408837	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL4-1R	Nucleic Acid Extraction	Nanodrop 2000	2.04			1.72			FL4-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			370	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL4-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL4-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	129136571	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.11	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL4-1S	Nucleic Acid Extraction	Nanodrop 2000	2.02			2.3			FL4-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			361	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL4-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL4-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	116406947	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
